2025-09-23 13:58:52,586 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-23 13:59:02,945 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-23 13:59:07,389 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-23 13:59:11,975 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
2025-09-23 13:59:26,667 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-23 13:59:54,422 | CRITICAL | Alerte : Obstacle détecté | Priorité : 1 | Icon : 🚧 | Son : obstacle_alert.wav
2025-09-23 13:59:57,284 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-23 13:59:58,564 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-23 14:13:14,902 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
2025-09-23 14:13:16,596 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-23 14:58:49,767 | WARNING | Alerte : Problème de communication | Priorité : 2 | Icon : 📡 | Son : communication_lost.wav
2025-09-23 14:58:52,927 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-23 14:59:00,557 | INFO | Alerte : Place indisponible | Priorité : 3 | Icon : ❌ | Son : place_unavailable.wav
2025-09-23 15:04:09,344 | CRITICAL | Alerte : Erreur de navigation | Priorité : 1 | Icon : 🧭 | Son : navigation_error.wav
2025-09-23 15:04:13,163 | WARNING | Alerte : Temps d attente excessif | Priorité : 2 | Icon : ⏳ | Son : timeout_alert.wav
2025-09-23 15:04:23,181 | WARNING | Alerte : Manoeuvre incorrecte | Priorité : 2 | Icon : 🔄 | Son : maneuver_warning.wav
